#node1,node2,combined_score
ABL1,IDH2,0.594
ABL1,FOXO3,0.492
ABL1,STAT5A,0.98
ABL1,GATA2,0.51
ABL1,PAX5,0.623
ABL1,CASP8,0.471
ABL1,DNMT1,0.432
ABL1,MTOR,0.692
ABL1,NRAS,0.704
ABL1,XIAP,0.641
ABL1,PTEN,0.65
ABL1,AKT1,0.409
ABL1,CXCR4,0.417
ABL1,NCAM1,0.422
ABL1,RELA,0.435
ABL1,BAG1,0.443
ABL1,CXCL12,0.462
ABL1,TNF,0.479
ABL1,JAK1,0.482
ABL1,RAD50,0.501
ABL1,BRCA2,0.514
ABL1,IL6,0.529
ABL1,BCL2L11,0.542
ABL1,P2RY8,0.569
ABL1,CEBPA,0.57
ABL1,MME,0.574
ABL1,PTPN11,0.603
ABL1,WT1,0.611
ABL1,IDH1,0.614
ABL1,NOTCH1,0.641
ABL1,LOC102723407,0.666
ABL1,CRLF2,0.67
ABL1,KMT2A,0.684
ABL1,FBXW7,0.718
ABL1,PBX1,0.729
ABL1,CDKN2A,0.763
ABL1,WASF1,0.768
ABL1,AFF1,0.845
ABL1,RAD51,0.915
ABL1,ETV6,0.932
AFF1,FLT3,0.555
AFF1,CREBBP,0.413
AFF1,TCF3,0.691
AFF1,EP300,0.438
AFF1,PRDM16,0.449
AFF1,NPM1,0.54
AFF1,RUNX1,0.731
AFF1,BCR,0.668
AFF1,MLLT10,0.985
AFF1,TERT,0.416
AFF1,CD34,0.448
AFF1,NUP98,0.53
AFF1,EZH2,0.439
AFF1,IKZF1,0.651
AFF1,PAX5,0.423
AFF1,EPS15,0.582
AFF1,PSIP1,0.486
AFF1,P2RY8,0.4
AFF1,MME,0.424
AFF1,LOC102723407,0.437
AFF1,TOP2A,0.547
AFF1,NSD1,0.569
AFF1,ETV6,0.715
AFF1,AFF3,0.769
AFF1,PBX1,0.852
AFF1,KMT2A,0.99
AFF3,BLK,0.46
AFF3,BCR,0.414
AFF3,MLLT10,0.615
AFF3,KMT2A,0.631
AKT1,ERCC1,0.43
AKT1,TNFRSF1A,0.817
AKT1,MIF,0.48
AKT1,TIMP1,0.607
AKT1,MMP2,0.846
AKT1,MPO,0.546
AKT1,NFKB1,0.896
AKT1,IL2,0.692
AKT1,CDKN1B,0.996
AKT1,NR3C1,0.791
AKT1,IGFBP2,0.483
AKT1,FLT3,0.68
AKT1,SOX4,0.507
AKT1,HSPB1,0.991
AKT1,KRAS,0.904
AKT1,MDM2,0.999
AKT1,SRSF1,0.432
AKT1,RIPK1,0.556
AKT1,CCND2,0.681
AKT1,VWF,0.545
AKT1,CYBA,0.992
AKT1,YY1,0.497
AKT1,CD33,0.4
AKT1,CREBBP,0.854
AKT1,TIMP2,0.521
AKT1,TCF3,0.408
AKT1,EP300,0.954
AKT1,CBL,0.775
AKT1,HDAC4,0.531
AKT1,STAT3,0.966
AKT1,DNMT3A,0.518
AKT1,ZAP70,0.537
AKT1,RB1,0.586
AKT1,TP53,0.994
AKT1,CDKN2B,0.58
AKT1,ATM,0.742
AKT1,FLT1,0.61
AKT1,THY1,0.517
AKT1,FANCD2,0.49
AKT1,KIT,0.818
AKT1,STAT5B,0.81
AKT1,IL15,0.507
AKT1,NPM1,0.796
AKT1,NOS3,0.997
AKT1,HPRT1,0.504
AKT1,SPRED1,0.428
AKT1,RUNX1,0.549
AKT1,BIRC5,0.509
AKT1,IL7R,0.465
AKT1,CXCL8,0.72
AKT1,TERT,0.903
AKT1,CD34,0.661
AKT1,LEP,0.825
AKT1,TYMS,0.435
AKT1,MET,0.408
AKT1,NQO1,0.706
AKT1,EZH2,0.867
AKT1,TAC1,0.436
AKT1,DNMT3B,0.652
AKT1,LEPR,0.573
AKT1,IDH2,0.595
AKT1,GHRL,0.528
AKT1,FOXO3,0.998
AKT1,STAT5A,0.87
AKT1,HMGB1,0.598
AKT1,GATA2,0.587
AKT1,HNRNPH1,0.412
AKT1,CASP8,0.79
AKT1,ARNT,0.771
AKT1,DNMT1,0.822
AKT1,COL18A1,0.466
AKT1,TLR9,0.538
AKT1,MTOR,0.999
AKT1,PTGS2,0.775
AKT1,FASLG,0.667
AKT1,CCN2,0.802
AKT1,S100A8,0.412
AKT1,NRAS,0.815
AKT1,XIAP,0.939
AKT1,PTEN,0.988
AKT1,MMP9,0.827
AKT1,CXCR3,0.43
AKT1,HSPA1B,0.557
AKT1,TRDMT1,0.473
AKT1,WT1,0.656
AKT1,BRCA2,0.605
AKT1,IRF4,0.681
AKT1,JAK2,0.732
AKT1,CD9,0.503
AKT1,WASF1,0.738
AKT1,BCL2L11,0.833
AKT1,CYP1A1,0.43
AKT1,CXCL12,0.722
AKT1,GSTP1,0.401
AKT1,RELA,0.78
AKT1,MDK,0.54
AKT1,IL6,0.872
AKT1,CXCR4,0.75
AKT1,IDH1,0.619
AKT1,CYLD,0.592
AKT1,TNF,0.907
AKT1,PRMT1,0.425
AKT1,TOP2A,0.595
AKT1,IL10,0.731
AKT1,BDNF,0.835
AKT1,MME,0.403
AKT1,CDKN2A,0.866
AKT1,BRAF,0.783
AKT1,PROM1,0.668
AKT1,CEBPA,0.631
AKT1,IDO1,0.512
AKT1,ENO2,0.542
AKT1,CYP2E1,0.43
AKT1,BAG1,0.403
AKT1,RAD51,0.448
AKT1,NCAM1,0.46
AKT1,LOC102723407,0.471
AKT1,FAS,0.532
AKT1,BTK,0.61
AKT1,FBXW7,0.672
AKT1,PTPN11,0.762
AKT1,CCNA2,0.771
AKT1,CTLA4,0.811
AKT1,NOTCH1,0.887
ANKS1B,TCF3,0.459
ANKS1B,GSTO2,0.406
ANKS1B,PBX1,0.523
APEX1,ERCC1,0.774
APEX1,GSTO1,0.407
APEX1,PTEN,0.409
APEX1,NBN,0.431
APEX1,VWF,0.435
APEX1,HMGB1,0.469
APEX1,GSTO2,0.475
APEX1,TOP2A,0.476
APEX1,HNRNPH1,0.506
APEX1,FOXO3,0.521
APEX1,MDM2,0.54
APEX1,HSPA1B,0.565
APEX1,BRCA2,0.585
APEX1,RFC1,0.599
APEX1,ATM,0.681
APEX1,RAD51,0.685
APEX1,XRCC4,0.695
APEX1,STAT3,0.709
APEX1,XRCC3,0.734
APEX1,LIG4,0.741
APEX1,ERCC2,0.743
APEX1,SET,0.859
APEX1,NPM1,0.871
APEX1,EP300,0.944
APEX1,TP53,0.944
APEX1,MUTYH,0.975
APEX1,OGG1,0.986
APEX1,XRCC1,0.999
ARID5B,CEBPE,0.917
ARID5B,TLX3,0.418
ARID5B,CRLF2,0.437
ARID5B,CDKN2A,0.445
ARID5B,ETV6,0.468
ARID5B,P2RY8,0.477
ARID5B,IKZF1,0.621
ARNT,MDM2,0.662
ARNT,CREBBP,0.968
ARNT,TCF3,0.403
ARNT,EP300,0.999
ARNT,STAT3,0.491
ARNT,RB1,0.404
ARNT,TP53,0.622
ARNT,FLT1,0.449
ARNT,FOXO3,0.431
ARNT,ETV6,0.409
ARNT,IL6,0.416
ARNT,PTEN,0.46
ARNT,IDH1,0.499
ARNT,MTOR,0.515
ARNT,BDNF,0.57
ARNT,CDKN2A,0.578
ARNT,RELA,0.59
ARNT,CYP1A1,0.908
ASNS,TYMS,0.407
ASNS,MTR,0.456
ASNS,MTHFD1,0.426
ASNS,ATF5,0.551
ATF5,CEBPE,0.471
ATF5,EP300,0.453
ATF5,PROM1,0.43
ATF5,CEBPA,0.703
ATM,ERCC1,0.975
ATM,NFKB1,0.746
ATM,CDKN1B,0.713
ATM,FLT3,0.516
ATM,HSPB1,0.623
ATM,KRAS,0.718
ATM,MDM2,0.995
ATM,SRSF1,0.673
ATM,RIPK1,0.585
ATM,CCND2,0.476
ATM,CREBBP,0.497
ATM,XRCC1,0.835
ATM,EP300,0.904
ATM,CBL,0.423
ATM,HDAC4,0.623
ATM,STAT3,0.592
ATM,DNMT3A,0.478
ATM,ZAP70,0.469
ATM,NBN,0.999
ATM,RB1,0.449
ATM,TP53,0.999
ATM,CDKN2B,0.518
ATM,MMP9,0.404
ATM,MTOR,0.408
ATM,GATA2,0.409
ATM,CXCL8,0.409
ATM,WT1,0.409
ATM,DNMT3B,0.413
ATM,RPL5,0.414
ATM,STAT5B,0.419
ATM,CTLA4,0.445
ATM,JAK1,0.455
ATM,HSPA1A,0.475
ATM,BCL2L11,0.483
ATM,PTPN11,0.486
ATM,RUNX1,0.487
ATM,HSPA1B,0.493
ATM,IDH2,0.51
ATM,JAK3,0.515
ATM,XIAP,0.538
ATM,TNF,0.545
ATM,RELA,0.545
ATM,JAK2,0.546
ATM,KIT,0.546
ATM,IL6,0.548
ATM,TOP2A,0.56
ATM,HLA-A,0.573
ATM,IDH1,0.578
ATM,EZH2,0.589
ATM,OGG1,0.63
ATM,BTK,0.632
ATM,NRAS,0.632
ATM,KMT2A,0.644
ATM,NPM1,0.651
ATM,MUTYH,0.662
ATM,DNMT1,0.696
ATM,NOTCH1,0.723
ATM,FBXW7,0.756
ATM,PLK1,0.768
ATM,BRAF,0.778
ATM,LOC102723407,0.787
ATM,RFC1,0.799
ATM,CCNA2,0.815
ATM,TERT,0.825
ATM,FOXO3,0.826
ATM,CDKN2A,0.847
ATM,PTEN,0.897
ATM,ERCC2,0.914
ATM,XRCC3,0.918
ATM,CASP8,0.961
ATM,XRCC4,0.98
ATM,LIG4,0.987
ATM,FANCD2,0.989
ATM,RAD50,0.99
ATM,BRCA2,0.995
ATM,RAD51,0.995
AUTS2,EP300,0.696
AUTS2,RUNX1,0.576
AUTS2,MET,0.452
AUTS2,PAX5,0.48
B3GAT1,IL2,0.679
B3GAT1,CD33,0.483
B3GAT1,KIT,0.446
B3GAT1,IL15,0.606
B3GAT1,IL7R,0.653
B3GAT1,CD34,0.543
B3GAT1,IL3RA,0.48
B3GAT1,KLRD1,0.76
B3GAT1,FASLG,0.516
B3GAT1,CXCR3,0.53
B3GAT1,HLA-A,0.496
B3GAT1,IL6,0.448
B3GAT1,TNF,0.577
B3GAT1,IL10,0.63
B3GAT1,MME,0.571
B3GAT1,CTLA4,0.545
B3GAT1,FAS,0.572
B3GAT1,ENO2,0.585
B3GAT1,NCAM1,0.927
BAALC,FLT3,0.673
BAALC,DNMT3A,0.402
BAALC,NPM1,0.661
BAALC,RUNX1,0.507
BAALC,CD34,0.728
BAALC,CEBPA,0.577
BAALC,WT1,0.606
BAG1,TNFRSF1A,0.408
BAG1,NR3C1,0.83
BAG1,TP53,0.754
BAG1,MET,0.616
BAG1,HSPA1B,0.971
BAG1,HSPA1A,0.786
BAG1,BRAF,0.642
BCL2L11,TNFRSF1A,0.479
BCL2L11,MIF,0.404
BCL2L11,BIRC7,0.415
BCL2L11,NFKB1,0.556
BCL2L11,IL2,0.642
BCL2L11,CDKN1B,0.748
BCL2L11,FLT3,0.435
BCL2L11,KRAS,0.713
BCL2L11,MDM2,0.58
BCL2L11,RIPK1,0.492
BCL2L11,CCND2,0.618
BCL2L11,CREBBP,0.643
BCL2L11,EP300,0.68
BCL2L11,STAT3,0.591
BCL2L11,TP53,0.867
BCL2L11,KIT,0.427
BCL2L11,STAT5B,0.528
BCL2L11,IL15,0.41
BCL2L11,IL7R,0.651
BCL2L11,EZH2,0.441
BCL2L11,FOXO3,0.984
BCL2L11,STAT5A,0.513
BCL2L11,CASP8,0.753
BCL2L11,MTOR,0.545
BCL2L11,FASLG,0.893
BCL2L11,CCN2,0.445
BCL2L11,NRAS,0.675
BCL2L11,XIAP,0.708
BCL2L11,PTEN,0.684
BCL2L11,MMP9,0.413
BCL2L11,MTHFR,0.439
BCL2L11,IRF4,0.427
BCL2L11,JAK2,0.643
BCL2L11,LOC102723407,0.4
BCL2L11,NOTCH1,0.404
BCL2L11,RELA,0.416
BCL2L11,CCNA2,0.431
BCL2L11,CTLA4,0.449
BCL2L11,IL10,0.452
BCL2L11,IL6,0.508
BCL2L11,FAS,0.534
BCL2L11,CDKN2A,0.541
BCL2L11,BTK,0.551
BCL2L11,TNF,0.587
BCL2L11,BRAF,0.783
BCR,FLT3,0.418
BCR,CBL,0.971
BCR,STAT3,0.587
BCR,TP53,0.58
BCR,KIT,0.807
BCR,STAT5B,0.936
BCR,RUNX1,0.404
BCR,RAD51,0.44
BCR,MLLT10,0.513
BCR,TOP2A,0.519
BCR,KMT2A,0.559
BCR,STAT5A,0.924
BDNF,TIMP1,0.604
BDNF,MMP2,0.436
BDNF,MPO,0.473
BDNF,NFKB1,0.54
BDNF,IL2,0.479
BDNF,NR3C1,0.788
BDNF,FLT3,0.695
BDNF,KRAS,0.596
BDNF,FLT4,0.715
BDNF,CREBBP,0.886
BDNF,EP300,0.405
BDNF,HDAC4,0.438
BDNF,STAT3,0.685
BDNF,DNMT3A,0.464
BDNF,TP53,0.52
BDNF,FLT1,0.769
BDNF,THY1,0.648
BDNF,KIT,0.841
BDNF,IL15,0.413
BDNF,NOS3,0.436
BDNF,CXCL8,0.713
BDNF,CD34,0.446
BDNF,LEP,0.732
BDNF,MET,0.742
BDNF,EZH2,0.577
BDNF,TAC1,0.84
BDNF,DNMT3B,0.42
BDNF,LEPR,0.485
BDNF,GHRL,0.535
BDNF,HMGB1,0.423
BDNF,DNMT1,0.636
BDNF,MTOR,0.652
BDNF,PTGS2,0.654
BDNF,NRAS,0.566
BDNF,PTEN,0.625
BDNF,MMP9,0.74
BDNF,TET1,0.593
BDNF,CXCL12,0.699
BDNF,IL6,0.846
BDNF,CXCR4,0.492
BDNF,TNF,0.739
BDNF,IL10,0.695
BDNF,IDO1,0.447
BDNF,ENO2,0.579
BDNF,PTPN11,0.63
BDNF,NCAM1,0.767
BDNF,DCX,0.778
BHLHE41,NFKB1,0.412
BHLHE41,FOXO3,0.407
BHLHE41,PTGS2,0.41
BHLHE41,CEBPA,0.41
BHLHE41,GFI1,0.432
BHLHE41,EP300,0.464
BIRC5,BIRC7,0.82
BIRC5,MMP2,0.484
BIRC5,NFKB1,0.426
BIRC5,KRAS,0.474
BIRC5,MDM2,0.422
BIRC5,STAT3,0.796
BIRC5,TP53,0.93
BIRC5,FANCD2,0.526
BIRC5,PLK1,0.98
BIRC5,MMP9,0.401
BIRC5,BRCA2,0.404
BIRC5,DHFR,0.42
BIRC5,FAS,0.468
BIRC5,CDKN2A,0.472
BIRC5,PTEN,0.483
BIRC5,CCN2,0.496
BIRC5,NUP98,0.501
BIRC5,CXCR4,0.538
BIRC5,FOXO3,0.559
BIRC5,EZH2,0.567
BIRC5,DNMT1,0.619
BIRC5,CASP8,0.66
BIRC5,RAD51,0.853
BIRC5,TYMS,0.862
BIRC5,CCNA2,0.956
BIRC5,XIAP,0.96
BIRC5,TOP2A,0.976
BIRC7,TP53,0.427
BIRC7,CASP8,0.583
BIRC7,XIAP,0.817
BLK,TLR9,0.422
BLK,IRF4,0.466
BLK,TCF3,0.489
BLK,HLA-DRB1,0.501
BLK,LOC102723407,0.56
BLK,RUNX1,0.593
BLK,IKZF1,0.651
BLK,PAX4,0.758
BLK,PAX5,0.795
BLK,STAT3,0.821
BRAF,ERCC1,0.418
BRAF,MMP2,0.412
BRAF,MPO,0.4
BRAF,NFKB1,0.684
BRAF,IL2,0.542
BRAF,CDKN1B,0.486
BRAF,NR3C1,0.515
BRAF,HSPB1,0.552
BRAF,KRAS,0.999
BRAF,MDM2,0.631
BRAF,CCND2,0.6
BRAF,VWF,0.559
BRAF,CREBBP,0.465
BRAF,EP300,0.634
BRAF,STAT3,0.773
BRAF,DNMT3A,0.486
BRAF,TP53,0.887
BRAF,CDKN2B,0.534
BRAF,KIT,0.426
BRAF,STAT5B,0.423
BRAF,NPM1,0.685
BRAF,SPRED1,0.616
BRAF,RUNX1,0.439
BRAF,CXCL8,0.431
BRAF,TERT,0.815
BRAF,CD34,0.473
BRAF,TYMS,0.445
BRAF,EZH2,0.622
BRAF,IDH2,0.731
BRAF,FOXO3,0.431
BRAF,GATA2,0.404
BRAF,CASP8,0.44
BRAF,DNMT1,0.463
BRAF,MTOR,0.654
BRAF,PTGS2,0.428
BRAF,NRAS,0.999
BRAF,XIAP,0.429
BRAF,PTEN,0.943
BRAF,MMP9,0.483
BRAF,HSPA1B,0.697
BRAF,WT1,0.492
BRAF,BRCA2,0.721
BRAF,CDX2,0.55
BRAF,JAK2,0.585
BRAF,ETV6,0.602
BRAF,HLA-A,0.603
BRAF,MDK,0.434
BRAF,IL6,0.507
BRAF,CXCR4,0.412
BRAF,IDH1,0.799
BRAF,TNF,0.486
BRAF,IL10,0.408
BRAF,CDKN2A,0.892
BRAF,PROM1,0.431
BRAF,NCAM1,0.431
BRAF,IDO1,0.447
BRAF,MUTYH,0.47
BRAF,LOC102723407,0.486
BRAF,PRAME,0.486
BRAF,KMT2A,0.598
BRAF,NOTCH1,0.668
BRAF,CTLA4,0.773
BRAF,FBXW7,0.799
BRAF,PTPN11,0.862
BRCA2,ERCC1,0.877
BRCA2,CDKN1B,0.422
BRCA2,KRAS,0.721
BRCA2,MDM2,0.702
BRCA2,XRCC1,0.827
BRCA2,NBN,0.901
BRCA2,TP53,0.995
BRCA2,CDKN2B,0.449
BRCA2,FANCD2,0.999
BRCA2,KIT,0.484
BRCA2,NPM1,0.856
BRCA2,PLK1,0.996
BRCA2,OGG1,0.508
BRCA2,TERT,0.55
BRCA2,EZH2,0.552
BRCA2,IDH2,0.411
BRCA2,STAT5A,0.465
BRCA2,DNMT1,0.418
BRCA2,MTOR,0.407
BRCA2,NRAS,0.521
BRCA2,PTEN,0.877
BRCA2,MTHFR,0.408
BRCA2,RAD50,0.759
BRCA2,WT1,0.469
BRCA2,JAK2,0.4
BRCA2,CTLA4,0.421
BRCA2,IDH1,0.484
BRCA2,RFC1,0.488
BRCA2,FBXW7,0.503
BRCA2,NOTCH1,0.569
BRCA2,ERCC2,0.636
BRCA2,TOP2A,0.661
BRCA2,CTCF,0.677
BRCA2,MUTYH,0.728
BRCA2,CDKN2A,0.806
BRCA2,XRCC4,0.845
BRCA2,CCNA2,0.877
BRCA2,LIG4,0.887
BRCA2,RAD51,0.999
BRCA2,XRCC3,0.999
BTG1,PRMT1,0.712
BTG1,FOXO3,0.77
BTK,NFKB1,0.759
BTK,IL2,0.477
BTK,KRAS,0.535
BTK,MDM2,0.525
BTK,VWF,0.479
BTK,CD33,0.471
BTK,CBL,0.851
BTK,STAT3,0.589
BTK,ZAP70,0.731
BTK,TP53,0.654
BTK,KIT,0.524
BTK,STAT5B,0.492
BTK,IL7R,0.422
BTK,TAC1,0.528
BTK,IKZF1,0.618
BTK,GHRL,0.516
BTK,KLRD1,0.548
BTK,STAT5A,0.85
BTK,PAX5,0.493
BTK,TLR9,0.911
BTK,MTOR,0.541
BTK,NRAS,0.463
BTK,PTEN,0.513
BTK,HSPA1B,0.451
BTK,HSPA1A,0.458
BTK,IRF4,0.571
BTK,CRLF2,0.489
BTK,CXCL12,0.505
BTK,LAT2,0.534
BTK,IL6,0.568
BTK,CXCR4,0.609
BTK,TLR6,0.665
BTK,TNF,0.593
BTK,IL10,0.488
BTK,LOC102723407,0.747
BTK,JAK1,0.457
BTK,NOTCH1,0.468
BTK,CTLA4,0.483
BTK,PTPN11,0.516
CASP8,ERCC1,0.544
CASP8,TNFRSF1A,0.998
CASP8,MMP2,0.49
CASP8,NFKB1,0.664
CASP8,IL2,0.491
CASP8,CDKN1B,0.621
CASP8,HSPB1,0.475
CASP8,KRAS,0.48
CASP8,MDM2,0.75
CASP8,RIPK1,0.999
CASP8,CREBBP,0.544
CASP8,EP300,0.589
CASP8,STAT3,0.634
CASP8,RB1,0.508
CASP8,TP53,0.991
CASP8,STAT5B,0.416
CASP8,CXCL8,0.515
CASP8,TERT,0.428
CASP8,CD34,0.499
CASP8,MET,0.587
CASP8,FOXO3,0.493
CASP8,HMGB1,0.496
CASP8,TLR9,0.412
CASP8,CXCR4,0.447
CASP8,NOTCH1,0.498
CASP8,JAK2,0.523
CASP8,NCAM1,0.527
CASP8,CCNA2,0.541
CASP8,IL10,0.558
CASP8,CDKN2A,0.586
CASP8,MTOR,0.611
CASP8,JAK1,0.634
CASP8,PTGS2,0.7
CASP8,RELA,0.704
CASP8,MMP9,0.712
CASP8,IL6,0.739
CASP8,PTEN,0.781
CASP8,CASP8AP2,0.966
CASP8,XIAP,0.97
CASP8,CYLD,0.972
CASP8,TNF,0.999
CASP8,FAS,0.999
CASP8,FASLG,0.999
CBL,TNFRSF1A,0.435
CBL,FLT3,0.852
CBL,MDM2,0.558
CBL,RIPK1,0.453
CBL,CD33,0.736
CBL,STAT5B,0.429
CBL,PICALM,0.526
CBL,NRAS,0.543
CBL,THY1,0.58
CBL,MTRR,0.595
CBL,TNF,0.61
CBL,NOTCH1,0.61
CBL,PTEN,0.687
CBL,FLT1,0.689
CBL,JAK1,0.745
CBL,STAT5A,0.755
CBL,MTR,0.757
CBL,EPS15,0.766
CBL,IL6,0.771
CBL,JAK2,0.79
CBL,STAT3,0.88
CBL,PTPN11,0.951
CBL,KIT,0.957
CBL,MET,0.999
CBL,ZAP70,0.999
CCN2,TIMP1,0.816
CCN2,MMP2,0.839
CCN2,TFPI2,0.407
CCN2,NFKB1,0.457
CCN2,IGFBP2,0.514
CCN2,VWF,0.884
CCN2,TIMP2,0.694
CCN2,EP300,0.462
CCN2,STAT3,0.535
CCN2,TP53,0.555
CCN2,THY1,0.646
CCN2,CXCL8,0.535
CCN2,CD34,0.416
CCN2,COL18A1,0.419
CCN2,MTOR,0.456
CCN2,PTGS2,0.691
CCN2,HSPA1B,0.405
CCN2,PTEN,0.455
CCN2,IL10,0.478
CCN2,CXCL12,0.576
CCN2,NOTCH1,0.598
CCN2,CXCR4,0.669
CCN2,CD9,0.705
CCN2,TNF,0.74
CCN2,IL6,0.771
CCN2,MMP9,0.809
CCNA2,MMP2,0.429
CCNA2,GAR1,0.442
CCNA2,CDKN1B,0.999
CCNA2,KRAS,0.455
CCNA2,MDM2,0.837
CCNA2,CCND2,0.61
CCNA2,CREBBP,0.764
CCNA2,EP300,0.812
CCNA2,STAT3,0.519
CCNA2,NBN,0.596
CCNA2,RB1,0.998
CCNA2,TP53,0.997
CCNA2,CDKN2B,0.519
CCNA2,FANCD2,0.608
CCNA2,NPM1,0.441
CCNA2,PLK1,0.958
CCNA2,TERT,0.68
CCNA2,TYMS,0.865
CCNA2,EZH2,0.649
CCNA2,FOXO3,0.564
CCNA2,GATA2,0.428
CCNA2,DNMT1,0.511
CCNA2,MTOR,0.442
CCNA2,PTGS2,0.424
CCNA2,XIAP,0.426
CCNA2,PTEN,0.511
CCNA2,MMP9,0.497
CCNA2,RAD50,0.527
CCNA2,IL6,0.4
CCNA2,DHFR,0.612
CCNA2,TNF,0.417
CCNA2,TOP2A,0.982
CCNA2,CDKN2A,0.696
CCNA2,RAD51,0.791
CCND2,TNFRSF1A,0.407
CCND2,NFKB1,0.402
CCND2,CDKN1B,0.999
CCND2,KRAS,0.687
CCND2,MDM2,0.492
CCND2,RELA,0.411
CCND2,MMP9,0.412
CCND2,IRF4,0.417
CCND2,DNMT1,0.433
CCND2,MET,0.434
CCND2,KIT,0.436
CCND2,STAT5B,0.448
CCND2,GSTP1,0.455
CCND2,IL6,0.455
CCND2,STAT5A,0.457
CCND2,EZH2,0.472
CCND2,LOC102723407,0.479
CCND2,NOTCH1,0.493
CCND2,IDH2,0.495
CCND2,TERT,0.5
CCND2,NPM1,0.514
CCND2,TOP2A,0.538
CCND2,STAT3,0.541
CCND2,EP300,0.557
CCND2,PLK1,0.558
CCND2,NRAS,0.622
CCND2,TP53,0.641
CCND2,RUNX1,0.69
CCND2,PTEN,0.706
CCND2,JAK2,0.711
CCND2,CDKN2B,0.962
CCND2,RB1,0.988
CCND2,CDKN2A,0.99
